ProductID,ProductCategory,Brand,Color,Size,Season,Material,Country,Price,Discount,Rating,Reviews,ShippingCost,Inventory,Promotion,SalesVolume,ProfitMargin,CostPerUnit,AdBudget,SalesRank,MonthlySales
1,home,Brand C,Blue,L,Summer,Cotton,UK,146.57616715253735,0.2195420850707428,3.750730340147607,9.403994946418887,38.16544790940523,77.62184649718508,0,325.3349738566719,55.800329199046345,115.01150572578574,128.0776078498978,-1519.3589607788672,2061.1936206396795
2,sports,Brand C,Red,S,Winter,Polyester,USA,190.26111132944675,0.2718711764669383,6.033801660689289,24.006522246268563,77.88472975686776,124.04714099681517,0,512.6227563363695,96.16111152349875,157.6927343930361,108.89283387145534,-2447.1956263399347,4033.2351289451726
3,electronics,Brand C,Blue,M,Summer,Cotton,UK,111.33394659740787,0.21154141776671673,3.9705798720138015,17.958795869141156,43.99270652472576,74.1501837205757,0,374.8508702524315,45.41829370792401,89.65643169580215,-15.508970914005275,-1756.6283770545604,2902.042794258173
4,home,Brand C,Blue,XL,Fall,Leather,Germany,140.6232309644137,0.23692181250104336,4.405568716644529,31.62646772861801,1.4673599556534773,96.82201786053481,1,420.6950723119631,35.9256930516758,96.11205831178141,48.714100830719566,-2008.4429229018103,3412.3135241856608
5,home,Brand C,Black,XL,Winter,Cotton,UK,145.80937423173202,0.1772964333941789,3.3149057749532425,36.108282002183394,81.48980144490798,82.99421946704607,0,429.80312049303836,89.90461785643356,124.2235221405257,27.56883283212496,-2032.5127300201043,3521.210520502187
6,sports,Brand A,Blue,S,Winter,Polyester,Germany,158.62301231287262,-0.05899960895836757,4.217197809681213,28.533527957171128,80.71937367417308,122.57916311276725,0,371.08356071969297,89.27791410965779,135.65858213680812,76.95062465651729,-1749.1353659594085,3405.43500739933
7,electronics,Brand C,Black,M,Summer,Cotton,UK,123.80185612851136,0.20928281569521337,3.156018825757763,18.28888097457583,53.30110606306044,72.36577534243088,0,359.73473809436507,58.160445828617206,102.34745391606639,78.81873610937912,-1684.2259704099615,2844.927237494469
8,electronics,Brand C,Black,S,Spring,Polyester,Canada,93.53224867023845,0.2001417721451659,3.3727894386934123,24.823363913127885,37.84259950820166,108.43160596875617,1,304.970518182566,50.26366924058044,76.68576582717138,117.65091941053429,-1412.7832585577407,2595.5960953150047
9,home,Brand A,Green,M,Winter,Wool,USA,111.9692116638688,-0.03774692239122726,4.918816554764901,26.183198054835838,86.44981094098931,136.06184461218956,1,365.45038796002314,73.84582193184671,105.0673483408514,143.33053288054592,-1708.5930987738188,2759.2218159436225
10,clothing,Brand A,Green,S,Summer,Polyester,Germany,17.72167384974315,-0.003522492040844552,5.104434900804008,25.629061596883872,55.933959690758684,115.02217003886773,0,114.11612032112143,35.3755396800286,28.537272368365805,149.82835383446408,-450.8982286519357,1381.0921379591218
